,text
85,ze triste klasetik gustoa ertetzie sorpresie izetie
86,bellako triste
87,ana moura arraial triste
88,domingo triste
89,triste istoriahttpsyoutubedwxpsmqitgm
90,rafa di zeo esta triste
91,"bihar urte beteko ditut azken urteetan bizi dudan urterik txarrena izan da bizitakoa
eguzkia ateratzen ez zen egunak bizi izan ditut
bakardadea
isiltasuna
maldan behera amiltzen
desagertu nintzen kaleetatik eta zentzu batetan nintzena desagertu zen"
92,dena ez da txarra ordu aldaketarena ongi egin baduzu igande arratsaldeari kendu ahal diozu kendu beharreko ordu hori
93,finala izateko ere etzen txarra hau
94,mazela triste
95,ze egun txarra alergikuantzat
96,triste kkkkkkkkkk aiai
97,ana moura arraial triste
98,etsoy triste
99,bizarramente triste
100,triste eza
101,triste loko
102,pixula triste
103,gaur baionak anoetan jolasteu ta ezingoet ikustea jun triste
104,pixula triste
105,jongin perreando triste
106,ana moura arraial triste
107,"batzuetan triste sentitzen gara gaindituta geneukala uste genuen zerbaitengatik
ez da porrota errekuperazioaren parte da"
108,azkeneko anpolla sendatzeakin ulertuet bukatuela etapa hau pixkat triste ta eztakit zer den bardetena
109,ana moura arraial triste
110,estoi tan triste
111,ana moura arraial triste
112,bellako triste
113,egixe da durangok beti useintzen dauela txarto baina gaur especialmente oso oso txarto
114,un bellako triste
115,"errazagoa da norberaren mixeriak ezkutatzea zerri ultraeskuindar baten hitzetaz eta formetaz trufa eginez zuk egiten duzunaz argiki erakustea baino
antzerki txarra"
116,triste pela smoki
117,les sakatuta denda zorte txarra da agurearentzat ona da jarri eta esatea baina
118,potatsia triste
119,ana moura arraial triste
120,ta triste arozarena
121,gure hizkuntzan aisialdiko interneta marginala izateak bere gauza onak ditu txarra noski irrelebantzia totala da ona aldiz ez daudela jarrera hipertoxikoak besteak beste ia inor ez dagoelako begira
122,ola estoi triste
123,carita tristeanakena
124,ana moura arraial triste
125,estoi tan triste
126,estoi tan triste
127,ola estoi triste
128,"zergatik horrekin bai eta nirekin ez ze egin behar dut zer nago txarto egiten
galdera hauek etengabe errepikatzea soilik mia eta tristura dakartzate"
129,"gabigol
ta triste na boa"
130,bellako triste
131,"beste marra bat nire begiak itsu
hainbeste droga gorputzean ezin dut gelditu
bizitzak honelako kolpeak ematen ditu
itxura ona zapore txarra pitxu"
132,ana moura arraial triste
133,nohai pulpoen orlando estoi mui triste
134,estoi tan triste
135,tiktok me deixa triste
136,triste nago ni bezalakoekin bakarrik laguntzea problemak saihesteko bide hobea dela jakinda
137,nekita triste
138,nahi triste
139,bizarramente triste
140,vielka extraar vielka estar triste
141,ana moura arraial triste
142,maldita semana triste
143,borjitas triste
144,lek triste
145,ana moura arraial triste
146,fekiz pero triste
147,bastante triste ze ezin ixenaz juen ikusten etxepe ta mutikoamptattaampdenso baa weno dekodanien multan dirue kubridute y un par de txelas noie
148,"partidua triste ta haserre amaitu arrenrealak gehio merezi zunlehen sartzen zirenak gaur ez
ta hala ezin irabazi
en el debehoy goro sinceramente me ha decepcionadoy oyarpues est sin terminar de carburar
pero digna realongi eta langilepena punteria falta"
149,carlos fernandez oso txarra da ez du ekarpenik egiten
150,errealak duen zorte txarra ez da normala
151,basta tiktok esta demasiado triste
152,ai no ke triste estoi biba aun
153,eh triste demaizi
154,bellako triste
155,estoi tan triste
156,mi tik tok en modo triste
157,"kabendio asteburun txarra eman due
getarin esan dit klaseko batek tortilla pintxua taberna baten earra dola
mezi ditudan launak imagino"
158,gimnasioen ustezko hasiberrifobiaren harira gogoetatxo bat normala da egoera berrien aurrean antsietate apur bat sentitzea orokorrean jendeari berdin zatzaizkio jende txarra dago toki eta disziplina guztietan baina salbuespen dira normalean jendea berera doa kenadatepare ns
159,triste y cabizbaja
160,ana moura arraial triste
161,"gaur berri oso triste batekin hasi dugu eguna
kontxita martinez de lezea atzo zendu zen abertzale euskaltzale eta batez ere pertsona aparta
adiskide zintzoa eta eskuzabala borroka politikoetan
egun handira arte kontxita"
162,modo triste on
163,zer prestatuko dut afaltzeko eta beste istorio triste batzuk
164,lehenik eta behin gogoratu nahi dizut emozioak pertsonalak direla beraz haiekin tratatzeko modua ere desberdina izango da egia esateko ezin dut zehatz esan ez nintzen gudari baten moduan borrokatu eta ez nintzen beti triste egon
165,ana moura arraial triste
166,musik triste
167,esori triste
168,oloko to triste
169,aria triste
170,ana moura arraial triste
171,etsoy triste
172,ana moura arraial triste
173,bonita jirafa triste
174,vaya desgracia kriston zorte txarra dekogu ostiaaa
175,a ohana ta triste
176,triste kantzaute moribunda fea ta prekaria jodeme mas
177,atsu triste
178,triste protagonista
179,gaur kaskoak galdu ditut hernanin da triste
180,ana moura arraial triste
181,ez huts egin erakutsi nire konfiantza ematea inoiz ez zela ideia txarra izan
182,gizakiak bi era dauzka munduan barrena ibiltzeko edo barregarri edo negargarri
183,un bellako triste
184,eu soi tso triste
185,bikotekidea eukitea ondo dago baina bisita sorpresa egiten dizuten eta gainera gero afaltzera eramaten zaituzten lagunek edo txarto zaudenean deitzen zaituzten lagunek hori altxorra da
186,triste eein
187,estoi tan triste
188,triste gaudenean ezin diogu triste egoteari utzi baina geure burua zaindu dezakegu eramangarriagoa izan dadin
189,bellako triste
190,geoz ta argigo ikustet harry stylesen kontzertu batea jungabe triste triste hilko naizela
191,"partido taktikoa roman defensa oso ondo daki zerta jokatzen duen
realak gutxi eskeini dio hiru jaurtiketa ta bi gol sartu ditustepilak kargatu eta ea anoetan gainditzen degunbolada txarra ez da bukatu ea hurrungo partidoa irabaztia lortzen degun"
192,ana moura arraial triste
193,"reala flojo
roma ekipo gorra fisikua serioa
florituraik gabeko kanporaketa da de txoke sin txorradas ta reala alor hortan larri
txarra ez"
194,atzera buelta txarra realak le normand eskas
195,ana moura arraial triste
196,framengo triste jajai feliz gudi naiti
197,gata triste
198,gnabry sane eta mane bigarren zatian zelairatu ditu bayerneko entrenatzaileak ez da ordezko zerrenda txarra
199,ana moura arraial triste
200,milesker ama hegoak emateagatik nahiz eta gure momentu txarrena izan
201,uf ze mareo txarra busien
202,erten bao bi ordu lenao preparatzen hasten alde ona badakizu etzeala berandu ibiliko alde txarra hogei miutu berdituzu asko jota preparatzeko ta etxetik ertetzeako ordubete pasa eonbertzea pareta beira
203,"hego haizea
haize txarra betidanik esanda gure familian"
204,estoi tan triste
205,maldita gaita triste do tiktok
206,ai yo keria k triste
207,historia triste
208,odio gaixo egotie to super triste jartzen nai
209,bellako triste
210,to triste agorakkkkkkkkkkkkk
211,estoi tan triste t amo hanbin
212,triste era
213,dia sin auronplay dia triste
214,ana moura arraial triste
215,eztakit zer egin dodan edo zer pasetan jatan baia geur dekoten ostie txarra ez dot euki neure bizitzan
216,domingo triste mika morreu
0,adimen artifizial eredu handiek interneten dagoen eduki orokorra erabili dutela dirudi beren modeloak elikatzeko demostratzerik balego copyright legeen hausturak baino dena publiko egitera behartuko nituzke modeloaz gain datuak entrenatzeko estrategia dokumentuak
1,orain arte renderrak ziren hauteskunde kanpainetako gezurgintza tresna aurten adimen artifiziala batuko zaiola dirudi
2,adimen artifiziala nahikoa ergela da baina aurpegiratzen badiozu [egina dut nik atarramendurik ez daukat ] ematen dizkizun erantzun eta arrazoiak horiek bai adimen natural eta tertuliano batenak petopetoak
3,ba nik adimen artifizialaren irudietan txato pila bat ikusten jarraitzen dut
4,kutxa beltzik ez ez adimen artifizialean ez ikerkuntzan ez inon
5,"adimen emozionalari buruzko irakurlearen kluba el monje que vendi su ferrari robin sharma
martxoak de marzo
liburutegia biblioteca"
6,garbigailuaren adimen artifiziala baino gezurtiagorik ez dago minutu bat falta zaiola esaten dizunean ez sinistu
7,kaixo gpt mesedez idatzi ezazu istorio labur bat honako planteamenduarekin adimen artifizialari esker bost urte barru dena automatikoki eta berehala itzultzerik egongo da liburuak filmak telebista hori ikusita euskaldun talde batek konpromisoa hartzen du
8,"adimen artifizialari euskal herriaren inguruko olerkia bat sortzeko eskatu berri diot tira
euskal herriko historia
beti izan da borrokatu
gure lurra defendatu
eta gure hizkuntza bizirik mantendu"
9,"aste honetan adimen artifizialari buruz egingo dugu sareaneuseko artikuluetan
gaur xabi mtz de arbuloren txanda da adimen artifizialak lanik gabe utziko nau izeneko artikulua idatzi du
eman begirada bat eta esaguzu zer iruditzen zaizun"
0,jagoba a orain euskal telebistanlasai itxura baina irribartsua ederra
1,azkenean egun ederra geratu duk
2,lo de guruzeta nah magia pura
3,"gaur bezalako egunetan amorrua ematen dit futbolerua ez izateaka zer giro ederra bilbon
athletikeko liburuak saltzen bainabaietz gaur osasunak irabazi"
4,"iron maidenen bilboko kontzerturako bi sarreren bila nabil norbaitek zerbait badaki md twitter haz tu magia
busco dos entradas para el concierto de iron maiden el de julio en bilbao si alguien sabe algoeskerrik asko"
5,zein ederra den
6,oinatz bengoetxea euskalduna izatea ederra da pilotari izatea bikaina txapeldun izatea zoragarria
7,lasoren gantxo ederra eta hurbildu dira gorriak pilota aldaketa
8,ederra hasieri egurre elordi
9,ahaztu behar zaitut nire bihotzak beti gogoratuko zaitu maitasun eder bat bezala gaur zure laguna izan nahi dut egonkortasun mentala galtzen ari naizelako sentitzen dudalako maite zaitut
10,"egun luzea bezain ederra gamilia lagunak
ze ondo dena ondo doanean
plazer hutsa errepikatzeko irrikaz"
11,ezin da esan maitasuna ezin da esan edertasuna
12,ze ederra izango den itzulera
13,"euskal eskola publikoan irakasle askok esfortzu handia egiten dugu patioan haurrek euskaraz hitz egin dezaten
eta zein ederra den bertako eta jatorri ezberdinetako haurrak elkarren artean euskaraz entzutea
sahara pakistan nigeria senegal kolonbia marokoeuskara ardatz"
14,"isladen indarrak dakarren garra
argia ez baita aski ederra"
15,ederra iruditzen zait behien gauzak behiekin azaltzea
16,barrera pura magia
17,"era harry
e era magia"
18,ze ederra izango den itzulera
19,"edertasuna izugarrikeriaren hasiera besterik ez da
rilke"
20,maitasun gaixoa
21,urtera ailegatzearekin edukiaren sortzaile gisa errekonozitu naute are gehiago lagin bat eskatu didate gaur eraman diet labetik atera berria osasunbideaz ari naiz
22,nire titularra abertzaletasunak jipoi ederra emon deutso inperialismo faxista atzerakoi eta kapitalistari
23,aen elkarrizketa bat egin behar diote pertsonaia famatu bati egiazkoa edo fikziozkoa azalduko ez ditudan hainbat kontu direla medio talde batean thomas bernhardi egin diote eta grazia handiz kasik negar egin dut emozioagatik
24,"ederra zatekeen itsasertzeko paseoa
zakurren eta haien mokordoengatik ez balitz
izpiritu humanoa hozkaka galtzen ari ez ote garen"
25,"tuu instagrameko istoriatan musika jartzeko zeba kendu dittue skabidean autobus magikoa orainari
ze haserre"
26,egunon lagunok ni liburutegira goazen egun ederra izan
27,marka berria anoetan gaur baionapaloise partidan ederra
28,gaur eguraldi ederra atera zaigu eta egun osoa libre zertan botako ote dudan pentsatzen bidai inprobisatu bat aspaldiko lagun bati bixita badakit komuneko dutxan bazeon joaten ez zen mantxa bat horrekin arituko naiz solasean
29,arima ederra
30,atzo bi tipo randomekin atagenun argazki bat ta eztakigu zeintzuk dien twitter in zure magia behintzet argazkie eukitzeko
31,el k se masturba con dibujos zein ederra den mitologia zein tristea errealitatea
32,aukeratu egin behar da gauza batek ezin du aldi berean egiazkoa eta egiantzekoa izan braque
33,ospitalean azken urratsak ematen ari den jendearen ondoan ze gogorra eta zein ederra den bizitza
34,maitasun begiekin begiratzen zaitut
35,zein ederra den udaberria hostia
36,"txikitan poesia ikusten nuen edozeren atzean
urratsez urrats mundu erraldoi bat biluzten ari zitzaidan aurrean
jakinmina zaharraren aurrean emozioa berriaren aurrean
gauzarik niminoena ere liluratzen ninduen
orduan munduaren edertasuna aurkitzea erraza zitzaidan"
37,ederra da gero aurreko belaunaldien bizipenen sedimentuetan arakatzea gainazaleko kapak erauzi eta hor egon ohi dira bizitzak luze iraunarazteko osagaiak
38,magia maldita
39,"garaitu nauenaren beldur egia
mila borrokaz maitasun bizia
loak hartu gabe lirain zitalen jantzia
zinez ft burutik"
40,bizitza ederra egiten duena ez da perfekzioa une zoriontsu txikiak baizik
41,ez niri azaldu edertasuna zer den silvia prez cruz entzun aurretik
42,"irati zineman ikusi berria
hunkigarria ederra
altxorra"
43,benito lertxundiari ikusteko bilboara noa nire aita ama eta arrebarekin ederra egun bat izango da
44,eta zergatik ez nahi eta ezin baina hain da desiragarria erakargarriaberezia kontrolaezina ederra
45,ze ederra dagoen anoeta aupa reala
46,"gaur zortea eduki det ta anoetara noaea zer dakarren gauak
momentuz sargori
paseoa ederra etxetikdsirena hotsak entzuten dira eta borroka giroa anoeta inguruanea zelaian ere gerra ematen degunaurrera reala"
47,"urtean xama familiatara iritsi da
eskerrik xamarengan konfiantza izan duen bakoitzari
gogoratuez da aztia izan behar magia egiteko aski da xamaren indikazioak jarraitzea denak aho zabalik uzteko
edozein liburudendan lor dezakezu xamaren herri magikoaren liburua"
48,zeinen ederra izango den lt
49,zein ederra den mitologia zein tristea errealitatea
50,"berri oso tristea jaso genuen atzo kontxita martnez de lezea abertzale fina eakide zintzoa emakune aitzindaria euskaltzalea zendu da pertsona leial maitagarri eta aparta beti konprometitua aberriarekin euskararekin eta emakumeon defentsan eta eredugarri
lurra arin"
51,hainbeste urte ta gero ta jarraitzen du izaten izugarrizko ederra telebistarako egokitako torrente ballesteren nobela
52,"normalean jendeak twiterreko magia bilatzen du ez dakit lana lortzeko nik lana behar duenarentzat bilatuko dut lagun bat daukat andoainen eta bere tabernarako sukaldaria eta zerbitzaria behar ditu
pribatuan idaztea galdetzeko"
53,antropologiako ikaslea naiz ehun eta nire testuliburuetako edukiaren gehiengoa gazteleraz dagoela salatu nahi dut urtez urte hamarnaka testu errepikatzen diren arren ia ez dago euskarara itzultzeko ahaleginik irakasleren baten debaldeko lan urriak dira hauek
54,atzo irati ikusi genuen eta tira bota dizkioten lore guztiguztiak merezitakoak dira filme ederra zinez
55,goiz ederra
56,"irati filma ikusi dut gustatu zait fantasian sartua konplexurik gabe lan ederra nire eskerrak eta zorionak
harritu naute hala ere atzeman ditudan hizkuntza inkoherentzia batzuk nafariparraldekoa nahi bai baina batzuetan ostiko"
57,zabaletarekin jokatzeak beti errazten ditu gauzak baina elordi argi erakusten ari da gaur ere lehen mailako pilotaria dela poz ederra aitor maila honetan jokatzen ikustea pilota ez da izar handien kontua soilik
58,lasai egon daiteke baiko albisu ikaragarriak badu oinordekoa serio eta egoki beti iztueta partida ederra
59,zu zara nire maitasun bakarra
60,egipto es magia
61,ongo hille guzti biajaten pasati me peta la cabeza bae ederra guapu aaaaaaaaa
62,"zeinen ederra izango den
eguzki izpiak zure itzala belarretan marrazten
muxu bat larrunen
garagardo bat zerura eroritakoen omenez"
63,artisau okintza eta artisau gozogintza bihotzez egina gozatu maisutasun ezagutza eta profesionaltasun osoz egindako artisau ogi pastel eta txokolateekin
64,"ilargi eguzkitsua goietan kokina
mimosa naroak bazterretan dilindan
oloesneak horditurik firrindan"
65,"utzidazu kontatzen ze ederra den jakitea
maiteko zaitudala itsasoaren beste aldean"
66,mutil batzuek ezin dituzte haur zoroek izkin egin ditzaketen argibide egiazkoak asmatu nire laguna pozik zegoen bere karrerarekin eta osakan hil zen lick it
67,musiala floren haz tu magia
68,zeruertzerako eskubidea irakurri nuen atzo plaza honetan ederra iruditu zitzaidan irudizko adieran zein bestelakoan
69,"hauek dira streaming plataformak dituzten gure datuak
gehien kontsumitzen eduki mota filmakseriak generoa
kontsumitzen den edukiaren luzeera
zein ordutan erabiltzen diren
nondik erabiltzen diren etxeakanpotik"
70,goiz esnatzeak baditu alde onak gaurko egunsenti ederra ikustea
71,hizkuntza batetik bestera eta bestetik batera ibili behar izateak eromen hori nahasmen horihizkuntza hegemoniko bateko hiztunarentzat arrotza den egoera ez du sekula egin behar izan halako esfortzurik eta harrigarria iruditzen zaio jendea bere hizkuntzara ez egokitzea
72,ze demontre da euskal enpresa eredua kapitalismoaren legeetatik at jarduten duen ekonomia euskal burgesi txiki aurrerakoia munduko eta bertako proletalgoaren expolioan oinarritzen ez den eredu magikoa
73,iragan otsailaren erdialdean caritas gaztearen dei interesgarriari erantzun ederra eman zioten gazteek helburua caritas gipuzkoaren geocachingean parte hartzea hau da ezagutzen ez dituzun hiriaren kokapen eta errealitate sozialen berri izatea ekimenaren topagunea aterpe
0,ze pozik naon benetan aupa gorritxok
1,jagoba arrasatek merezi zuen berarengatik pozten naiz gehien
2,ay ama ze polita da athletikekua izatiaaaaa
3,zu zara nire poz guztien iturria
4,bixer ikusibitxut uniko lagunak nau super pozik
5,barkatu ozatu leire ez da nire laztana maite zaitut neska polita
6,nahiko nuke euki emoji bat bihotzan formakua bao kolore guztik biltzen dituenaze polita izango litzaken
7,faruko ere atean dagoen agurea batbatean zakar da era harrigarrian erantzutea eta pozten nazazula nahi dut berehala hasiko naiz
8,bueno gaur eta atzo aspaldiko partez pozik eta lasai eon naiz gutxi iraungo dit bao aike aprobetxar osake bortxen lentejak jatea nijo ta dana perfektue izango da hola
9,"bueno ni laso ta imazen alde nintzen bio izugarri pozten naiz elordi ta zabalentangatik
aupa mutillak"
10,subjektu oro da artistikoa zientifikoa politikoa edo amodiozkoa zerbait bestalde mundu guziak esperientziaz dakiena erregistro hauetatik kanpo dagoena existentzia baita soilik eta bakarrik edo indibidualtasuna baina ez subjekturik badioufilosofiaz manifestua polita
11,"hain polita izan da baina
bukatu egin da
gure bizitza bat ziren
berriro bi dira
nahiz eta jakin une hauek
gogorrak direla
sinesten dut zu eta ni
lagunak izan gaitezkela"
12,"atzo lanera alaba bixitan ostalaritza gogorra da denentzat familia dugunontzat gehiago
agurrean
aita gaur ondo ingodet lo amets polita pentsatu det
ze amets
zuk ikaragarri maite nauzula
maitia hori ezta ametsa hori bizitzan beti izango duzuna da
ta besarkada"
13,erabaki bat hartu nun zalantzak izan nitun gaur inoiz bainon pozik eta lasaiago hartutako erabakiarekin ez izan aldaketen beldur
14,"lehen arretako medikua euskaraz atenditzeko aldaketa egiten duzu lortzen duzu urteak daramazu pozik zure arreta euskaraz jasotzen baina klaro bere egoilarrak erdaldunak dira eta atentzio telefoniko guztia kastellanoz
todo guay"
15,daramat hilabete jarraian gipuzkoan lan egiten oso pozik nago euskaraz hitz egiten berriz gero eta solteago sentitzen naizelako hau behar nuen neukan euskara berreskuratzeko idazten eta hitz egiten akatsak egiten ditutnoski baina txarrago izango zen ez egitea
16,euskaldunak eta erdaldunak ikasgelan batzea positiboa da euskaldunentzat baliteke nola egiten den non zein kopurutan zer baliabide erabilita testuinguruak nola laguntzen duen
17,"ez dakit zehazki zertan datza cityren aurkako izan al den partiduarenganako gatazka
polita izango litzateke southampton edo blackburn aurka jolaztea beharbada bai baina cityren aurkako iritzia futbola moderno hutsa dela oinarriturik badago beste hauen kontra egon ginateke"
18,"iruerria magiko bihurtzen da ilunabarraren disdira epelean korrika egiten duzunean
trail saio polita asteburuari ongietorria ematen"
19,baina pozik hartzen ditut egun berriaren lehen eguzki printzak azken finean bizi naizenaren seinale dira
20,"ea ze nolako poza bilbon bueltan egoteagaitik egun batzuk bakarrik izango dira baina berriz arnasa hartzeko balioko zaugu ama eta bioi orain bai ulertzen dudala txapela buruan eta ibili muantua esaera
ama baten tuipa izan da baina benetan oso pozik nagoela"
21,pozik jaiki naiz energiaz segituan jakin dut ana obregnek haur bat erosi duela eta ohera itzultzeko gogoa sartu zait errealitatezaplastekoa
22,ze polita eskoziar ereserkia
23,beste aldean ikusiko gara polita izan zen zurekin masailezurra jotzea
24,ze politta den zu pozik ikustea
25,ze pozik egongo nintzake ni feroe uharteetan bizitzen eta txoriak behatzen biztanleko nazio txiki lasaia naturaz blaituta zertarako gehiago nazioak eta herriak zenbat eta txikiagoak ordun ta hobeagoak kohesionatuagoak batuagoak lasaiagoak ekologikoagoak
26,ze polita bilbo
27,dispertsioa amaitu dela hain pozik diogun honetan ez al dugu pablo gonzalez ahaztuta egia da ez dela euskal gatazkarekin zer ikusia duen presoa baina nire ustez preso politikoa da bertakoa da ez dakit euskalduna den baskoa bai eta inolako bermerik gabe preso dago
28,egun polita gaurkoa
29,ze polita dan maitasuna batzuntzat
30,"eta a ze gola
asko pozten naiz"
31,"euskal preso politikoen urrunketa amaitzea pozgarria da baina ez da herri honen inolako garaipena
aieteko errendiziotik urtetara euskal militante baino gehiagok espainiar eta frantziar estatu okupatzaileek bahituta segitzeak bake prozesuaren fartsa islatzen du"
32,eajpnvk pozik eta baikor hartu du etako presoak euskal espetxeetara hurbiltzeko prozesua ondo amaitu izana albiste positiboa da eta beste urrats bat da gure herrian bizikidetza erabat sendotzeko ibilbidean
33,kaixo oso pozik nao aspaldi aspaldiko partez milesker ne poztasun honen parte zeaten danoi
34,oso polita zara
35,pozik dago lagunaa iritsi da egunaaa
36,la oreja de van goghekin dutxatziak re eztit pozik jarri gaur preokupante
37,irfandan kameralara harika poz
38,idazten hasinaiz berrirore urte askoren ostian oso pozik jartzenau honek ustet azken urteotan ezautunauen jendiak eztakala ne afizio honen berririk ere
39,super pozik kontzertuakin
40,pozik ateratzea lanetik
41,gaur urte betetzen ditut eta konturatu naiz hilabete batzuk bakarrik falta direla denbora gehien bizi izan naizen herria orio izateko eta pozik ea beste urte askuan hemen uzten nauten
42,udaberria da seasonal depression is over eguzkia atea da bizitza polita da eman eguzkitako krema eta edan ura muak
43,"supeeeeer pozik ofizialki uztailan nere lehenengo diska izango dena grabatzera sartzen naizelakolan talde zoragarri batez inguratuta
ayayayayayayay zenbat lan iteko oaindik bao ze gustoa"
44,kriston eualdiya iteu ta gaea jai dakat nik parkian naet eon toalla baten botata lagunekin pozik zerbeza hotza eraten ta margaritan pultseritak iten bao libun nao tfm bat iten saiatzen
45,"pozik itxaropentsu
borroka eta desobedientziaz ahal da"
46,"pozik itxaropentsu
borroka eta desobedientziaz ahal da"
47,daukazunarekin pozik sentitzea eta nire buruarekin lasai
48,badago dena konponduta eusko jaurlaritzak dio euskararen ezagutza eta erabilera gora egin duela eta denak pozik kitto herri kolonizatu batean euskara komunikabedeetan ikusteko edo entzuteko adibidez mirariak egin behar dugunean
49,como diria koldo tellitu pozik ez dut esango ezetz
50,bizitza ederra egiten duena ez da perfekzioa une zoriontsu txikiak baizik
51,barrenetxea sartu ta gol pozten nahiz igaitik
52,klasik poz
53,uf zelako pozik nauen gaur
54,"ni tan igual ya toca ilea moztu ta berriz rubiago jartzea
tan ikasle batek daukazu ilea super polita
ya me han liau"
55,zein polita den asturiera ezta
56,"ostirala hego aize berrirotarteka bizi ta tarteka aldakortuko daarrats iluntzean ipar mendebal ikutuzgiro epelnaiz eta t ze o zer behera eginhodeiak ta ostarteakbigarren zatian edo azken orduan ekaitz hodei garatu dezake baztertu gabe zaparrada txikiren bat
t"
57,inkluso esatebayazu nola garbitzeituzun hortzek ni alai ta pozik
58,polita eta osasuntsua da hitz egin eta partekatu ahal izatea
59,suposatzen da egun polita dala berezia ta soilik negar egiteko gogoak ditut en fin bizitza
60,"irati ikusita
ez nuen asko espero eta asko gustatu zait
pozik etxera eneko ibarjaun"
61,pozik nago laguna iritsi da hamakan jesukriston siesta bota ta desubikauta esnatzeko eguna
62,euskarabenturan irueti poz pozik giuztenien ta gizonbatek garraxi enziun os vais a morir todos eeee ze
63,ba ni bebai poz pozziikkk eguzki honekin
64,"klasea egiten dudanean oso eroso eta pozik nago lana da gaur egun nire konfortzona tristea baina honela da
hala ere gaurko klase ez da ibili ez dakit zergatik arraroa eta zaila izan da giro deserosoa ere sortu da
bihar gehiago eta hobeto baina gaur"
65,"ez dadila haria eten erronka polita izanen dut igande hontan
jurramendi trail montejurra"
66,ze pozik jartzen dozten eguraldi onak
67,ze poz lizzy mcalpine merezi dun rekonozimentue eukitzen ai dala ikustik bof dont gatekeep txikas
68,goizeko osteguna autobusean bi gazte elkarrizketa betebetean elkarrizketa polita interesgarria dirukontuak dira tarteko parranda sagardotekiak litroak gazteon gehiegizko diru xahutzeaz hari dira berba eta berba
69,"ze polita gaur ere
begietan bi lore
nora zoazen zoazen zoazen
jakin nahi nuke"
70,azkenaldi honetan super super pozik nao ta joo benetan pertsona brutalez inguratuta nao ta ez dut nahi hau bukatzerik
71,hainbeste poz sentiudet asteburu hontan gaur gaua pasaetela arpei honekin bate loik ingabe pentzatzen ze suerteakaten inguruan dakaten jendiakin ta bueno ba uaindala urte batzutako nagorei muxubat bialtzeiot ta besarkada estu bat tunelan bukaera aiatzen aigea matte
72,ze asteburu polita lt
